,pair,clean,raw,name_type
390,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowments House]]. [[Daniel Hanmer Wells|Wells]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowments House]]. [[Daniel Hanmer Wel,place
392,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
394,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
398,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]] with [[Wilford Woodruff Jr.|Wilford]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman]] with [[Wilford Woodruff J,place
399,"[[Fort Herriman, Salt Lake County, Utah Territory|fort Harriman]]. [[Wilford Woodruff Jr.|Wilford]]","Fort Herriman, Salt Lake County, Utah Territory",fort Harriman]]. [[Wilford Woodruff J,place
400,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
401,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
405,"[[John Taylor, b. 1808|John Taylor]] [[John Milton Bernhisel|John Milton]], & President [[Brigham Young|Young]]","John Taylor, b. 1808",John Taylor]] [[John Milton Bernhis,place
421,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
425,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
429,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
439,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
444,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
449,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
459,"[[Coones Canyon, Great Salt Lake County, Utah Territory|Coones Canyon]]","Coones Canyon, Great Salt Lake County, Utah Territory",Coones Canyon,place
467,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
471,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
475,"[[Jackson County, Missouri|Jackson County]]","Jackson County, Missouri",Jackson County,place
480,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
482,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]] we gave Endowments to 45 [[Daniel Hanmer Wells|D. H. Wells]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House]] we gave Endowments to 45 [[Daniel Hanmer Wel,place
483,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory",Tabernacle,place
486,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
489,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
491,"[[Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory|Tabernacle]]. [[John Taylor, b. 1808|John Taylor]]","Tabernacle, Great Salt Lake City, Great Salt Lake County, Utah Territory","Tabernacle]]. [[John Taylor, b. 18",place
494,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
500,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
507,"[[Coones Canyon, Great Salt Lake County, Utah Territory|Coones Canyon]]","Coones Canyon, Great Salt Lake County, Utah Territory",Coones Canyon,place
508,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G. S. L. City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",G. S. L. City,place
509,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
513,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
518,"[[John Taylor, b. 1808|John Taylor]] & [[Heber Chase Kimball|H. C. Kimball]]","John Taylor, b. 1808",John Taylor]] & [[Heber Chase Kimba,place
527,"[[Sacramento, Sacramento County, California|Sacramento]]","Sacramento, Sacramento County, California",Sacramento,place
528,"[[Sierra Nevada Mountain Range, United States|Siere nevada mountain]] through [[Carson Valley, Nevada|Carson valley]]","Sierra Nevada Mountain Range, United States","Siere nevada mountain]] through [[Carson Valley, Neva",place
530,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
535,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
538,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
546,"[[Azmon Woodruff, b. 1802|Azmon Woodruff]] [[John Milton Bernhisel|J. M. Bernhisel]]","Azmon Woodruff, b. 1802",Azmon Woodruff]] [[John Milton Bernhis,place
548,"[[Aphek Woodruff, b. 1778|Aphek Woodruff]]","Aphek Woodruff, b. 1778",Aphek Woodruff,place
549,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
558,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
604,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City]] for South [[Weber County, Utah Territory|Webber]]","Great Salt Lake City, Great Salt Lake County, Utah Territory","City]] for South [[Weber County, Utah Territo",place
617,"[[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory|temple]]","Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory",temple,place
618,"[[City Hall, Great Salt Lake City, Great Salt Lake County, Utah Territory|City Hall]]","City Hall, Great Salt Lake City, Great Salt Lake County, Utah Territory",City Hall,place
622,"[[Jordan River, Utah Territory|Jordon]]","Jordan River, Utah Territory",Jordon,place
625,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
632,"[[John Taylor, b. 1808|John Taylor]] & [[Franklin Dewey Richards|F. D. Richards]] [FIGURE] I wrote a letter to [[Lorenzo Snow|Lorenzo Snow]]","John Taylor, b. 1808",John Taylor]] & [[Franklin Dewey Richar,place
633,"[[Jordan River, Utah Territory|Jordon]]","Jordan River, Utah Territory",Jordon,place
634,"[[Jordan River, Utah Territory|Jordon]]","Jordan River, Utah Territory",Jordon,place
637,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",City,place
638,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
642,"[[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory|Temple]]","Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah Territory",Temple,place
648,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
655,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
661,"[[Jordan River, Utah Territory|Jordon]]","Jordan River, Utah Territory",Jordon,place
667,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
676,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
685,"[[Weber River, Utah Territory|Webber]]","Weber River, Utah Territory",Webber,place
692,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
700,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
702,"[[Washington, D.C., United States|washington]]","Washington, D.C., United States",washington,place
703,"[[Laramie, unorganized U.S. Territory|Laramie]]","Laramie, unorganized U.S. Territory",Laramie,place
708,"[[Coones Canyon, Great Salt Lake County, Utah Territory|Coones Canyon]]","Coones Canyon, Great Salt Lake County, Utah Territory",Coones Canyon,place
719,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
720,"[[Ozem Thompson Woodruff, b. 1804|Ozem Woodruff]] [[Ilus Fabyan Carter|I F Carter]]","Ozem Thompson Woodruff, b. 1804",Ozem Woodruff]] [[Ilus Fabyan Cart,place
721,"[[John Taylor, b. 1808|John Taylors]]","John Taylor, b. 1808",John Taylors,place
722,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
738,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
741,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
744,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
750,"[[Coones Canyon, Great Salt Lake County, Utah Territory|Coons Canyon]] the carell was made, & I left [[Moroni Bosnell Woodruff|Moroni]]","Coones Canyon, Great Salt Lake County, Utah Territory","Coons Canyon]] the carell was made, & I left [[Moroni Bosnell Woodru",place
752,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
759,"[[Spanish Fork, Utah County, Utah Territory|Spanish Fork]]","Spanish Fork, Utah County, Utah Territory",Spanish Fork,place
768,"[[Coones Canyon, Great Salt Lake County, Utah Territory|Coones Canyon]]","Coones Canyon, Great Salt Lake County, Utah Territory",Coones Canyon,place
779,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
793,"[[San Bernardino, San Bernardino County, California|San Bernadeno]]","San Bernardino, San Bernardino County, California",San Bernadeno,place
798,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
799,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
804,"[[San Francisco, San Francisco County, California|San Francisco Calafornia]]","San Francisco, San Francisco County, California",San Francisco Calafornia,place
806,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
812,"[[John Taylor, b. 1808|John Taylor]] [[George Albert Smith|G. A. Smith]]","John Taylor, b. 1808",John Taylor]] [[George Albert Smi,place
815,"[[Honolulu, Honolulu, Kingdom of Hawaii|Honolulu]] and a paper from Capt [[Walter Murray Gibson|Gibson]]","Honolulu, Honolulu, Kingdom of Hawaii",Honolulu]] and a paper from Capt [[Walter Murray Gibs,place
823,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
824,"[[Rush Valley, Tooele County, Utah Territory|Rush Valley]]","Rush Valley, Tooele County, Utah Territory",Rush Valley,place
825,"[[Rush Valley, Tooele County, Utah Territory|rush valley]]","Rush Valley, Tooele County, Utah Territory",rush valley,place
826,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
828,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
837,"[[Ogden, Weber County, Utah Territory|Ogden]]","Ogden, Weber County, Utah Territory",Ogden,place
840,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|G. S. L. City]] & returned home distance to [[Logan, Cache County, Utah Territory|Logan]]","Great Salt Lake City, Great Salt Lake County, Utah Territory","G. S. L. City]] & returned home distance to [[Logan, Cache County, Utah Territo",place
841,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endow House]] W Woodruff sealed 7 couple. [[Daniel Hanmer Wells|D H Wells]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endow House]] W Woodruff sealed 7 couple. [[Daniel Hanmer Wel,place
847,"[[John Taylor, b. 1808|J. Taylor]] & [[Charles Coulson Rich|C. C. Rich]]","John Taylor, b. 1808",J. Taylor]] & [[Charles Coulson Ri,place
851,"[[Ogden, Weber County, Utah Territory|Ogden]]. [[George Albert Smith|G.A. Smith]] & myself stoped with [[Lorin Farr|Loren Farr]]","Ogden, Weber County, Utah Territory",Ogden]]. [[George Albert Smi,place
853,"[[Box Elder County, Utah Territory|Box Elder]]","Box Elder County, Utah Territory",Box Elder,place
857,"[[Wellsville, Cache County, Utah Territory|Wellsville]]. [[George Albert Smith|GAS]]","Wellsville, Cache County, Utah Territory",Wellsville]]. [[George Albert Smi,place
859,"[[John Taylor, b. 1808|J Taylor]] [[Franklin Dewey Richards|F. D. Richards]], [[Charles Coulson Rich|C. C. Rich]]","John Taylor, b. 1808",J Taylor]] [[Franklin Dewey Richar,place
861,"[[Logan, Cache County, Utah Territory|Logan]] & spent the night. G.A. Smith & myself & [[Lorin Farr|Loren Farr]]","Logan, Cache County, Utah Territory",Logan]] & spent the night. G.A. Smith & myself & [[Lorin Fa,place
863,"[[Logan, Cache County, Utah Territory|Logan]]","Logan, Cache County, Utah Territory",Logan,place
865,"[[Brigham City, Box Elder County, Utah Territory|Brigham City]]","Brigham City, Box Elder County, Utah Territory",Brigham City,place
868,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
879,"[[John Taylor, b. 1808|John Taylor]]","John Taylor, b. 1808",John Taylor,place
880,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
885,"[[St. George, Washington County, Utah Territory|St George]] with Judge [[John F. Kinney|Kinney]]","St. George, Washington County, Utah Territory",St George]] with Judge [[John F. Kinn,place
887,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
891,"[[John Taylor, b. 1808|J Taylor]]","John Taylor, b. 1808",J Taylor,place
901,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment ^House^]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment ^House^,place
903,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
916,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
918,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
923,"[[Ogden, Weber County, Utah Territory|Ogden]]","Ogden, Weber County, Utah Territory",Ogden,place
924,"[[Ogden, Weber County, Utah Territory|Ogden]]","Ogden, Weber County, Utah Territory",Ogden,place
925,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
929,"[[Provo, Utah County, Utah Territory|provo]]","Provo, Utah County, Utah Territory",provo,place
936,"[[Provo, Utah County, Utah Territory|Provo]] at Brother [[Henry Larkin Southworth|Southworth]]","Provo, Utah County, Utah Territory",Provo]] at Brother [[Henry Larkin Southwor,place
937,"[[Provo River, Utah and Wasatch Counties, Utah Territory|provo River]]","Provo River, Utah and Wasatch Counties, Utah Territory",provo River,place
938,"[[Lehi, Utah County, Utah Territory|Lehi]]","Lehi, Utah County, Utah Territory",Lehi,place
939,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Great Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Great Salt Lake City,place
942,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
951,"[[Azmon Woodruff, b. 1802|Azmon Woodruff]]","Azmon Woodruff, b. 1802",Azmon Woodruff,place
952,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
956,"[[Camp Floyd, Fairfield, Utah County, Utah Territory|Camp Floyd]]","Camp Floyd, Fairfield, Utah County, Utah Territory",Camp Floyd,place
960,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
968,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]. [[Heber Chase Kimball|H C Kimball]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House]]. [[Heber Chase Kimba,place
973,"[[Azmon Woodruff, b. 1802|Azmon Woodruf]]","Azmon Woodruff, b. 1802",Azmon Woodruf,place
974,"[[Parleys Canyon, Salt Lake County, Utah Territory|Parleys Canyon]] to [[Josiah Hart|Josiah &H]] & [[Leonard Wilford Hardy|Leonard Hardys]]","Parleys Canyon, Salt Lake County, Utah Territory",Parleys Canyon]] to [[Josiah Ha,place
990,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
992,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1001,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1012,"[[Liverpool, Lancashire, England|Liverpool]]","Liverpool, Lancashire, England",Liverpool,place
1015,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
1024,"[[Fort Herriman, Salt Lake County, Utah Territory|Fort Harriman]]","Fort Herriman, Salt Lake County, Utah Territory",Fort Harriman,place
1027,"[[John Taylor, b. 1808|J. Taylor]]","John Taylor, b. 1808",J. Taylor,place
1028,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowmet House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowmet House,place
1041,"[[Great Salt Lake City, Great Salt Lake County, Utah Territory|Salt Lake City]]","Great Salt Lake City, Great Salt Lake County, Utah Territory",Salt Lake City,place
1042,"[[Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory|Endowment House]]","Endowment House, Great Salt Lake City, Great Salt Lake County, Utah Territory",Endowment House,place
